annotator,document,system,corpus,rank
1,1,pegasus,cnndm,4
1,1,prophetnet,cnndm,2
1,1,bart,cnndm,2
1,1,bertextabs,cnndm,1
1,2,pegasus,cnndm,4
1,2,prophetnet,cnndm,2
1,2,bart,cnndm,2
1,2,bertextabs,cnndm,1
1,3,pegasus,cnndm,2
1,3,prophetnet,cnndm,4
1,3,bart,cnndm,2
1,3,bertextabs,cnndm,1
1,4,pegasus,cnndm,1
1,4,prophetnet,cnndm,4
1,4,bart,cnndm,2
1,4,bertextabs,cnndm,2
1,5,pegasus,cnndm,1
1,5,prophetnet,cnndm,2
1,5,bart,cnndm,4
1,5,bertextabs,cnndm,2
2,1,pegasus,cnndm,1
2,1,prophetnet,cnndm,4
2,1,bart,cnndm,2
2,1,bertextabs,cnndm,2
2,2,pegasus,cnndm,2
2,2,prophetnet,cnndm,2
2,2,bart,cnndm,4
2,2,bertextabs,cnndm,1
2,3,pegasus,cnndm,2
2,3,prophetnet,cnndm,4
2,3,bart,cnndm,1
2,3,bertextabs,cnndm,2
2,4,pegasus,cnndm,1
2,4,prophetnet,cnndm,4
2,4,bart,cnndm,2
2,4,bertextabs,cnndm,2
2,5,pegasus,cnndm,2
2,5,prophetnet,cnndm,1
2,5,bart,cnndm,4
2,5,bertextabs,cnndm,2
3,1,pegasus,cnndm,1
3,1,prophetnet,cnndm,4
3,1,bart,cnndm,2
3,1,bertextabs,cnndm,2
3,2,pegasus,cnndm,4
3,2,prophetnet,cnndm,2
3,2,bart,cnndm,2
3,2,bertextabs,cnndm,1
3,3,pegasus,cnndm,1
3,3,prophetnet,cnndm,2
3,3,bart,cnndm,4
3,3,bertextabs,cnndm,2
3,4,pegasus,cnndm,4
3,4,prophetnet,cnndm,1
3,4,bart,cnndm,2
3,4,bertextabs,cnndm,2
3,5,pegasus,cnndm,2
3,5,prophetnet,cnndm,2
3,5,bart,cnndm,1
3,5,bertextabs,cnndm,4
4,6,pegasus,cnndm,2
4,6,prophetnet,cnndm,1
4,6,bart,cnndm,4
4,6,bertextabs,cnndm,2
4,7,pegasus,cnndm,2
4,7,prophetnet,cnndm,2
4,7,bart,cnndm,4
4,7,bertextabs,cnndm,1
4,8,pegasus,cnndm,4
4,8,prophetnet,cnndm,2
4,8,bart,cnndm,1
4,8,bertextabs,cnndm,2
4,9,pegasus,cnndm,2
4,9,prophetnet,cnndm,1
4,9,bart,cnndm,4
4,9,bertextabs,cnndm,2
4,10,pegasus,cnndm,2
4,10,prophetnet,cnndm,1
4,10,bart,cnndm,4
4,10,bertextabs,cnndm,2
5,6,pegasus,cnndm,1
5,6,prophetnet,cnndm,2
5,6,bart,cnndm,4
5,6,bertextabs,cnndm,2
