annotator,document,system,corpus,score
1,1,pegasus,cnndm,10
1,1,prophetnet,cnndm,10
1,1,bart,cnndm,6
1,1,bertextabs,cnndm,10
1,2,pegasus,cnndm,7
1,2,prophetnet,cnndm,7
1,2,bart,cnndm,9
1,2,bertextabs,cnndm,1
1,3,pegasus,cnndm,2
1,3,prophetnet,cnndm,8
1,3,bart,cnndm,8
1,3,bertextabs,cnndm,7
1,4,pegasus,cnndm,5
1,4,prophetnet,cnndm,6
1,4,bart,cnndm,8
1,4,bertextabs,cnndm,9
1,5,pegasus,cnndm,4
1,5,prophetnet,cnndm,5
1,5,bart,cnndm,10
1,5,bertextabs,cnndm,4
2,1,pegasus,cnndm,8
2,1,prophetnet,cnndm,7
2,1,bart,cnndm,6
2,1,bertextabs,cnndm,6
2,2,pegasus,cnndm,6
2,2,prophetnet,cnndm,8
2,2,bart,cnndm,5
2,2,bertextabs,cnndm,3
2,3,pegasus,cnndm,5
2,3,prophetnet,cnndm,8
2,3,bart,cnndm,6
2,3,bertextabs,cnndm,5
2,4,pegasus,cnndm,5
2,4,prophetnet,cnndm,4
2,4,bart,cnndm,5
2,4,bertextabs,cnndm,3
2,5,pegasus,cnndm,5
2,5,prophetnet,cnndm,3
2,5,bart,cnndm,6
2,5,bertextabs,cnndm,4
3,1,pegasus,cnndm,7
3,1,prophetnet,cnndm,8
3,1,bart,cnndm,7
3,1,bertextabs,cnndm,5
3,2,pegasus,cnndm,7
3,2,prophetnet,cnndm,6
3,2,bart,cnndm,9
3,2,bertextabs,cnndm,1
3,3,pegasus,cnndm,7
3,3,prophetnet,cnndm,6
3,3,bart,cnndm,8
3,3,bertextabs,cnndm,3
3,4,pegasus,cnndm,5
3,4,prophetnet,cnndm,7
3,4,bart,cnndm,7
3,4,bertextabs,cnndm,7
3,5,pegasus,cnndm,7
3,5,prophetnet,cnndm,4
3,5,bart,cnndm,9
3,5,bertextabs,cnndm,7
4,6,pegasus,cnndm,2
4,6,prophetnet,cnndm,3
4,6,bart,cnndm,5
4,6,bertextabs,cnndm,8
4,7,pegasus,cnndm,3
4,7,prophetnet,cnndm,7
4,7,bart,cnndm,8
4,7,bertextabs,cnndm,9
4,8,pegasus,cnndm,10
4,8,prophetnet,cnndm,7
4,8,bart,cnndm,7
4,8,bertextabs,cnndm,8
4,9,pegasus,cnndm,8
4,9,prophetnet,cnndm,8
4,9,bart,cnndm,8
4,9,bertextabs,cnndm,7
4,10,pegasus,cnndm,9
4,10,prophetnet,cnndm,9
4,10,bart,cnndm,9
4,10,bertextabs,cnndm,8
5,6,pegasus,cnndm,6
5,6,prophetnet,cnndm,9
5,6,bart,cnndm,10
5,6,bertextabs,cnndm,10
5,7,pegasus,cnndm,10
5,7,prophetnet,cnndm,10
5,7,bart,cnndm,10
5,7,bertextabs,cnndm,10
5,8,pegasus,cnndm,9
5,8,prophetnet,cnndm,8
5,8,bart,cnndm,8
5,8,bertextabs,cnndm,9
5,9,pegasus,cnndm,7
5,9,prophetnet,cnndm,7
5,9,bart,cnndm,7
5,9,bertextabs,cnndm,9
5,10,pegasus,cnndm,9
5,10,prophetnet,cnndm,6
5,10,bart,cnndm,10
5,10,bertextabs,cnndm,10
6,6,pegasus,cnndm,10
6,6,prophetnet,cnndm,9
6,6,bart,cnndm,10
6,6,bertextabs,cnndm,10
6,7,pegasus,cnndm,7
6,7,prophetnet,cnndm,9
6,7,bart,cnndm,9
6,7,bertextabs,cnndm,8
6,8,pegasus,cnndm,10
6,8,prophetnet,cnndm,10
6,8,bart,cnndm,6
6,8,bertextabs,cnndm,7
6,9,pegasus,cnndm,7
6,9,prophetnet,cnndm,7
6,9,bart,cnndm,9
6,9,bertextabs,cnndm,8
6,10,pegasus,cnndm,7
6,10,prophetnet,cnndm,6
6,10,bart,cnndm,10
6,10,bertextabs,cnndm,9
7,11,pegasus,cnndm,6
7,11,prophetnet,cnndm,2
7,11,bart,cnndm,7
7,11,bertextabs,cnndm,9
7,12,pegasus,cnndm,8
7,12,prophetnet,cnndm,4
7,12,bart,cnndm,10
7,12,bertextabs,cnndm,7
