annotator,document,system,corpus,rank
1,1,pegasus,xsum,2
1,1,prophetnet,xsum,2
1,1,bart,xsum,4
1,1,bertextabs,xsum,1
1,2,pegasus,xsum,2
1,2,prophetnet,xsum,1
1,2,bart,xsum,2
1,2,bertextabs,xsum,4
1,3,pegasus,xsum,2
1,3,prophetnet,xsum,1
1,3,bart,xsum,4
1,3,bertextabs,xsum,2
1,4,pegasus,xsum,2
1,4,prophetnet,xsum,1
1,4,bart,xsum,4
1,4,bertextabs,xsum,2
1,5,pegasus,xsum,2
1,5,prophetnet,xsum,4
1,5,bart,xsum,2
1,5,bertextabs,xsum,1
2,1,pegasus,xsum,1
2,1,prophetnet,xsum,2
2,1,bart,xsum,4
2,1,bertextabs,xsum,2
2,2,pegasus,xsum,2
2,2,prophetnet,xsum,1
2,2,bart,xsum,4
2,2,bertextabs,xsum,2
2,3,pegasus,xsum,2
2,3,prophetnet,xsum,1
2,3,bart,xsum,4
2,3,bertextabs,xsum,2
2,4,pegasus,xsum,2
2,4,prophetnet,xsum,2
2,4,bart,xsum,4
2,4,bertextabs,xsum,1
2,5,pegasus,xsum,2
2,5,prophetnet,xsum,4
2,5,bart,xsum,2
2,5,bertextabs,xsum,1
3,1,pegasus,xsum,1
3,1,prophetnet,xsum,4
3,1,bart,xsum,2
3,1,bertextabs,xsum,2
3,2,pegasus,xsum,2
3,2,prophetnet,xsum,1
3,2,bart,xsum,4
3,2,bertextabs,xsum,2
3,3,pegasus,xsum,2
3,3,prophetnet,xsum,1
3,3,bart,xsum,4
3,3,bertextabs,xsum,2
3,4,pegasus,xsum,2
3,4,prophetnet,xsum,2
3,4,bart,xsum,4
3,4,bertextabs,xsum,1
3,5,pegasus,xsum,2
3,5,prophetnet,xsum,4
3,5,bart,xsum,2
3,5,bertextabs,xsum,1
4,6,pegasus,xsum,4
4,6,prophetnet,xsum,2
4,6,bart,xsum,2
4,6,bertextabs,xsum,1
4,7,pegasus,xsum,4
4,7,prophetnet,xsum,1
4,7,bart,xsum,2
4,7,bertextabs,xsum,2
4,8,pegasus,xsum,2
4,8,prophetnet,xsum,4
4,8,bart,xsum,2
4,8,bertextabs,xsum,1
4,9,pegasus,xsum,4
4,9,prophetnet,xsum,2
4,9,bart,xsum,2
4,9,bertextabs,xsum,1
4,10,pegasus,xsum,2
4,10,prophetnet,xsum,4
4,10,bart,xsum,2
4,10,bertextabs,xsum,1
5,6,pegasus,xsum,2
5,6,prophetnet,xsum,2
5,6,bart,xsum,4
5,6,bertextabs,xsum,1
5,7,pegasus,xsum,2
5,7,prophetnet,xsum,2
5,7,bart,xsum,4
5,7,bertextabs,xsum,1
5,8,pegasus,xsum,2
5,8,prophetnet,xsum,4
5,8,bart,xsum,2
5,8,bertextabs,xsum,1
5,9,pegasus,xsum,4
5,9,prophetnet,xsum,2
5,9,bart,xsum,2
5,9,bertextabs,xsum,1
5,10,pegasus,xsum,1
5,10,prophetnet,xsum,4
5,10,bart,xsum,2
5,10,bertextabs,xsum,2
6,6,pegasus,xsum,2
6,6,prophetnet,xsum,2
6,6,bart,xsum,4
6,6,bertextabs,xsum,1
6,7,pegasus,xsum,2
6,7,prophetnet,xsum,1
6,7,bart,xsum,4
6,7,bertextabs,xsum,2
6,8,pegasus,xsum,2
6,8,prophetnet,xsum,2
6,8,bart,xsum,1
6,8,bertextabs,xsum,4
6,9,pegasus,xsum,4
6,9,prophetnet,xsum,1
6,9,bart,xsum,2
6,9,bertextabs,xsum,2
6,10,pegasus,xsum,2
6,10,prophetnet,xsum,4
6,10,bart,xsum,2
6,10,bertextabs,xsum,1
7,11,pegasus,xsum,4
7,11,prophetnet,xsum,2
7,11,bart,xsum,2
7,11,bertextabs,xsum,1
7,12,pegasus,xsum,4
7,12,prophetnet,xsum,2
7,12,bart,xsum,1
7,12,bertextabs,xsum,2
7,13,pegasus,xsum,2
7,13,prophetnet,xsum,4
7,13,bart,xsum,1
7,13,bertextabs,xsum,2
7,14,pegasus,xsum,2
7,14,prophetnet,xsum,1
7,14,bart,xsum,2
7,14,bertextabs,xsum,4
7,15,pegasus,xsum,1
7,15,prophetnet,xsum,2
7,15,bart,xsum,4
7,15,bertextabs,xsum,2
8,11,pegasus,xsum,2
8,11,prophetnet,xsum,4
8,11,bart,xsum,2
8,11,bertextabs,xsum,1
8,12,pegasus,xsum,4
8,12,prophetnet,xsum,1
8,12,bart,xsum,2
8,12,bertextabs,xsum,2
8,13,pegasus,xsum,2
8,13,prophetnet,xsum,4
8,13,bart,xsum,2
8,13,bertextabs,xsum,1
8,14,pegasus,xsum,2
