annotator,document,system,corpus,score
1,1,pegasus,xsum,8
1,1,prophetnet,xsum,9
1,1,bart,xsum,9
1,1,bertextabs,xsum,10
1,2,pegasus,xsum,8
1,2,prophetnet,xsum,10
1,2,bart,xsum,9
1,2,bertextabs,xsum,8
1,3,pegasus,xsum,9
1,3,prophetnet,xsum,9
1,3,bart,xsum,9
1,3,bertextabs,xsum,9
1,4,pegasus,xsum,9
1,4,prophetnet,xsum,8
1,4,bart,xsum,8
1,4,bertextabs,xsum,9
1,5,pegasus,xsum,9
1,5,prophetnet,xsum,8
1,5,bart,xsum,8
1,5,bertextabs,xsum,9
2,1,pegasus,xsum,2
2,1,prophetnet,xsum,3
2,1,bart,xsum,10
2,1,bertextabs,xsum,1
2,2,pegasus,xsum,6
2,2,prophetnet,xsum,1
2,2,bart,xsum,5
2,2,bertextabs,xsum,7
2,3,pegasus,xsum,7
2,3,prophetnet,xsum,1
2,3,bart,xsum,8
2,3,bertextabs,xsum,4
2,4,pegasus,xsum,2
2,4,prophetnet,xsum,1
2,4,bart,xsum,9
2,4,bertextabs,xsum,2
2,5,pegasus,xsum,4
2,5,prophetnet,xsum,6
2,5,bart,xsum,5
2,5,bertextabs,xsum,5
3,1,pegasus,xsum,5
3,1,prophetnet,xsum,6
3,1,bart,xsum,8
3,1,bertextabs,xsum,8
3,2,pegasus,xsum,3
3,2,prophetnet,xsum,8
3,2,bart,xsum,2
3,2,bertextabs,xsum,5
3,3,pegasus,xsum,10
3,3,prophetnet,xsum,1
3,3,bart,xsum,9
3,3,bertextabs,xsum,2
3,4,pegasus,xsum,1
3,4,prophetnet,xsum,1
3,4,bart,xsum,10
3,4,bertextabs,xsum,1
3,5,pegasus,xsum,4
3,5,prophetnet,xsum,5
3,5,bart,xsum,3
3,5,bertextabs,xsum,2
4,6,pegasus,xsum,7
4,6,prophetnet,xsum,7
4,6,bart,xsum,8
4,6,bertextabs,xsum,1
4,7,pegasus,xsum,6
4,7,prophetnet,xsum,1
4,7,bart,xsum,5
4,7,bertextabs,xsum,7
4,8,pegasus,xsum,5
4,8,prophetnet,xsum,5
4,8,bart,xsum,4
4,8,bertextabs,xsum,4
4,9,pegasus,xsum,4
4,9,prophetnet,xsum,4
4,9,bart,xsum,4
4,9,bertextabs,xsum,4
4,10,pegasus,xsum,1
4,10,prophetnet,xsum,5
4,10,bart,xsum,1
4,10,bertextabs,xsum,1
5,6,pegasus,xsum,10
5,6,prophetnet,xsum,9
5,6,bart,xsum,8
5,6,bertextabs,xsum,3
5,7,pegasus,xsum,2
5,7,prophetnet,xsum,9
5,7,bart,xsum,9
5,7,bertextabs,xsum,8
5,8,pegasus,xsum,10
5,8,prophetnet,xsum,8
5,8,bart,xsum,10
5,8,bertextabs,xsum,10
5,9,pegasus,xsum,9
5,9,prophetnet,xsum,4
5,9,bart,xsum,8
5,9,bertextabs,xsum,3
5,10,pegasus,xsum,1
5,10,prophetnet,xsum,10
5,10,bart,xsum,4
5,10,bertextabs,xsum,1
6,6,pegasus,xsum,10
6,6,prophetnet,xsum,3
6,6,bart,xsum,10
6,6,bertextabs,xsum,7
6,7,pegasus,xsum,6
6,7,prophetnet,xsum,10
6,7,bart,xsum,10
6,7,bertextabs,xsum,5
6,8,pegasus,xsum,10
6,8,prophetnet,xsum,10
6,8,bart,xsum,10
6,8,bertextabs,xsum,8
6,9,pegasus,xsum,7
6,9,prophetnet,xsum,5
6,9,bart,xsum,5
6,9,bertextabs,xsum,8
6,10,pegasus,xsum,1
6,10,prophetnet,xsum,10
6,10,bart,xsum,1
6,10,bertextabs,xsum,1
7,11,pegasus,xsum,8
7,11,prophetnet,xsum,9
7,11,bart,xsum,6
7,11,bertextabs,xsum,2
7,12,pegasus,xsum,9
7,12,prophetnet,xsum,1
7,12,bart,xsum,5
7,12,bertextabs,xsum,4
7,13,pegasus,xsum,3
7,13,prophetnet,xsum,7
7,13,bart,xsum,10
7,13,bertextabs,xsum,5
7,14,pegasus,xsum,9
7,14,prophetnet,xsum,1
7,14,bart,xsum,10
7,14,bertextabs,xsum,1
7,15,pegasus,xsum,5
7,15,prophetnet,xsum,10
7,15,bart,xsum,8
7,15,bertextabs,xsum,6
8,11,pegasus,xsum,7
8,11,prophetnet,xsum,9
8,11,bart,xsum,7
8,11,bertextabs,xsum,2
8,12,pegasus,xsum,6
8,12,prophetnet,xsum,3
8,12,bart,xsum,8
8,12,bertextabs,xsum,1
8,13,pegasus,xsum,7
8,13,prophetnet,xsum,1
8,13,bart,xsum,10
8,13,bertextabs,xsum,4
8,14,pegasus,xsum,8
8,14,prophetnet,xsum,1
8,14,bart,xsum,10
8,14,bertextabs,xsum,1
8,15,pegasus,xsum,10
8,15,prophetnet,xsum,8
8,15,bart,xsum,9
8,15,bertextabs,xsum,8
9,11,pegasus,xsum,8
9,11,prophetnet,xsum,7
9,11,bart,xsum,9
9,11,bertextabs,xsum,4
9,12,pegasus,xsum,9
9,12,prophetnet,xsum,5
9,12,bart,xsum,10
9,12,bertextabs,xsum,8
9,13,pegasus,xsum,8
9,13,prophetnet,xsum,9
9,13,bart,xsum,9
9,13,bertextabs,xsum,6
9,14,pegasus,xsum,3
9,14,prophetnet,xsum,5
9,14,bart,xsum,4
9,14,bertextabs,xsum,5
9,15,pegasus,xsum,6
9,15,prophetnet,xsum,3
9,15,bart,xsum,8
9,15,bertextabs,xsum,3
10,16,pegasus,xsum,8
10,16,prophetnet,xsum,7
10,16,bart,xsum,9
10,16,bertextabs,xsum,10
10,17,pegasus,xsum,1
10,17,prophetnet,xsum,10
10,17,bart,xsum,1
10,17,bertextabs,xsum,2
10,18,pegasus,xsum,1
10,18,prophetnet,xsum,10
10,18,bart,xsum,10
10,18,bertextabs,xsum,10
10,19,pegasus,xsum,3
10,19,prophetnet,xsum,5
10,19,bart,xsum,3
10,19,bertextabs,xsum,1
10,20,pegasus,xsum,10
10,20,prophetnet,xsum,8
10,20,bart,xsum,7
10,20,bertextabs,xsum,10
11,16,pegasus,xsum,10
11,16,prophetnet,xsum,1
11,16,bart,xsum,10
11,16,bertextabs,xsum,1
11,17,pegasus,xsum,1
11,17,prophetnet,xsum,8
11,17,bart,xsum,3
11,17,bertextabs,xsum,1
11,18,pegasus,xsum,8
11,18,prophetnet,xsum,10
11,18,bart,xsum,6
11,18,bertextabs,xsum,9
11,19,pegasus,xsum,3
11,19,prophetnet,xsum,5
11,19,bart,xsum,3
11,19,bertextabs,xsum,3
11,20,pegasus,xsum,5
11,20,prophetnet,xsum,7
11,20,bart,xsum,6
11,20,bertextabs,xsum,6
12,16,pegasus,xsum,7
12,16,prophetnet,xsum,8
12,16,bart,xsum,7
12,16,bertextabs,xsum,9
12,17,pegasus,xsum,7
12,17,prophetnet,xsum,10
12,17,bart,xsum,6
12,17,bertextabs,xsum,5
12,18,pegasus,xsum,8
12,18,prophetnet,xsum,7
12,18,bart,xsum,7
12,18,bertextabs,xsum,8
12,19,pegasus,xsum,7
12,19,prophetnet,xsum,3
12,19,bart,xsum,7
12,19,bertextabs,xsum,6
12,20,pegasus,xsum,7
12,20,prophetnet,xsum,5
12,20,bart,xsum,10
12,20,bertextabs,xsum,3
13,21,pegasus,xsum,10
13,21,prophetnet,xsum,9
13,21,bart,xsum,10
13,21,bertextabs,xsum,9
13,22,pegasus,xsum,1
13,22,prophetnet,xsum,7
13,22,bart,xsum,10
13,22,bertextabs,xsum,3
13,23,pegasus,xsum,2
13,23,prophetnet,xsum,1
13,23,bart,xsum,2
